distance,bodyCount,name,id,id64,coords,coordsLocked,requirePermit,information,primaryStar,duplicates,anchor_system,anchor_description,permitName
39.17,2.0,Col 69 Sector OP-A b16-1,22198705,2876151374745.0,"{'x': 461.21875, 'y': -120.90625, 'z': -1321.09375}",True,False,{},"{'type': 'T Tauri Star', 'name': 'Col 69 Sector OP-A b16-1 A', 'isScoopable': False}",,Col 69 Sector EI-E b14-0,,
45.28,2.0,Col 69 Sector OF-Z b16-1,13633541,2876151505825.0,"{'x': 461.65625, 'y': -84.5, 'z': -1303.6875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector OF-Z b16-1 A', 'isScoopable': True}",,Col 69 Sector EI-E b14-0,,
42.59,3.0,Col 69 Sector EY-C b15-1,17077270,2876151571345.0,"{'x': 462.8125, 'y': -53.28125, 'z': -1340.03125}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector EY-C b15-1 A', 'isScoopable': True}",,Col 69 Sector EI-E b14-0,,
38.32,18.0,Col 69 Sector KZ-A b16-1,28390294,2876151505817.0,"{'x': 463.53125, 'y': -84.8125, 'z': -1310.5}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector KZ-A b16-1', 'isScoopable': True}",,Col 69 Sector EI-E b14-0,,
44.27,9.0,Col 69 Sector WL-G b13-1,28342046,2876151571329.0,"{'x': 464.125, 'y': -62.1875, 'z': -1375.34375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector WL-G b13-1', 'isScoopable': True}",,Col 69 Sector EI-E b14-0,,
12.56,10.0,Col 69 Sector FB-X e1-5,23337158,22798132340.0,"{'x': 464.125, 'y': -88.25, 'z': -1350.71875}",True,False,{},"{'type': 'A (Blue-White) Star', 'name': 'Col 69 Sector FB-X e1-5', 'isScoopable': True}",,Col 69 Sector EI-E b14-0,,
49.19,12.0,Col 69 Sector UP-M c8-3,13633529,909291491794.0,"{'x': 464.71875, 'y': -96.46875, 'z': -1297.96875}",True,False,{},"{'type': 'K (Yellow-Orange) Star', 'name': 'Col 69 Sector UP-M c8-3 A', 'isScoopable': True}",,Col 69 Sector EI-E b14-0,,
29.19,22.0,Col 69 Sector KJ-C b15-1,13965016,2876151374737.0,"{'x': 464.84375, 'y': -114.8125, 'z': -1328.25}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector KJ-C b15-1 A', 'isScoopable': True}",,Col 69 Sector EI-E b14-0,,
45.09,20.0,Col 69 Sector UP-M c8-2,8335804,634413584850.0,"{'x': 464.90625, 'y': -100.75, 'z': -1302.59375}",True,False,{},"{'type': 'K (Yellow-Orange) Star', 'name': 'Col 69 Sector UP-M c8-2 A', 'isScoopable': True}",,Col 69 Sector EI-E b14-0,,
35.41,26.0,Col 69 Sector OO-O c7-1,29240371,359535710666.0,"{'x': 465.03125, 'y': -61.40625, 'z': -1335.375}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'Pereng Asli General Ltd', 'factionState': 'None', 'population': 3733489, 'security': 'Low', 'economy': 'Refinery', 'secondEconomy': 'Agriculture', 'reserve': 'Pristine'}","{'type': 'K (Yellow-Orange) Star', 'name': 'Col 69 Sector OO-O c7-1', 'isScoopable': True}",,Col 69 Sector EI-E b14-0,,
48.5,24.0,Col 69 Sector UP-M c8-0,13633484,84657770962.0,"{'x': 458.875, 'y': -101.40625, 'z': -1300.8125}",True,False,{},"{'type': 'K (Yellow-Orange) Star', 'name': 'Col 69 Sector UP-M c8-0 A', 'isScoopable': True}",,Col 69 Sector EI-E b14-0,,
47.33,18.0,Col 69 Sector IH-U d3-6,13255219,216753228003.0,"{'x': 518.75, 'y': -82.8125, 'z': -1358.5}",True,False,{},"{'type': 'F (White) Star', 'name': 'Col 69 Sector IH-U d3-6', 'isScoopable': True}",,Col 69 Sector EI-E b14-0,,
17.95,8.0,Col 69 Sector JZ-H a29-1,12008787,22991496562456.0,"{'x': 296.75, 'y': -37.6875, 'z': -1352.75}",True,False,{},{},,Col 69 Sector FH-U d3-19,,
33.29,12.0,Col 69 Sector UL-E a31-1,91564802,22994717787944.0,"{'x': 327.15625, 'y': -36.15625, 'z': -1332.90625}",False,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector UL-E a31-1', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
12.4,2.0,Col 69 Sector BS-L a27-0,3252691,5401458132744.0,"{'x': 317.84375, 'y': -30.21875, 'z': -1372.15625}",True,False,{},"{'type': 'T Tauri Star', 'name': 'Col 69 Sector BS-L a27-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
40.64,6.0,Col 69 Sector PZ-Q a24-0,83405536,5401458132720.0,"{'x': 317.84375, 'y': -33.78125, 'z': -1402.4375}",False,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector PZ-Q a24-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
17.02,1.0,Col 69 Sector LZ-H a29-0,44359322,5401458001688.0,"{'x': 317.75, 'y': -40.96875, 'z': -1347.84375}",True,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector LZ-H a29-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
34.55,10.0,Col 69 Sector ZF-W d2-13,28455160,457221081307.0,"{'x': 317.75, 'y': -16.4375, 'z': -1391.15625}",True,False,{},"{'type': 'F (White) Star', 'name': 'Col 69 Sector ZF-W d2-13', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
39.23,,Col 69 Sector VW-C a32-0,15809538,5401458132784.0,"{'x': 317.28125, 'y': -32.71875, 'z': -1323.5}",False,False,{},{},,Col 69 Sector FH-U d3-19,,
22.71,3.0,Col 69 Sector PB-F b14-1,3202587,2874272654217.0,"{'x': 317.25, 'y': -14.625, 'z': -1352.59375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector PB-F b14-1 A', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
31.11,9.0,Col 69 Sector TL-E a31-0,91468942,5401458001704.0,"{'x': 316.9375, 'y': -42.21875, 'z': -1332.65625}",False,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector TL-E a31-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
10.15,,Col 69 Sector DN-L a27-0,91702097,5401458001672.0,"{'x': 317.96875, 'y': -39.6875, 'z': -1368.125}",False,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector DN-L a27-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
25.88,10.0,Col 69 Sector TF-P a25-0,12288405,5401458132728.0,"{'x': 316.84375, 'y': -32.6875, 'z': -1387.5625}",True,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector TF-P a25-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
25.22,10.0,Col 69 Sector BB-W d2-1,12254848,44904204507.0,"{'x': 316.53125, 'y': -40.84375, 'z': -1386.15625}",True,False,{},"{'type': 'G (White-Yellow) Star', 'name': 'Col 69 Sector BB-W d2-1', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
33.83,1.0,Col 69 Sector VA-P a25-0,12288424,5401458001656.0,"{'x': 316.5, 'y': -43.34375, 'z': -1394.53125}",False,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector VA-P a25-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
42.9,8.0,Col 69 Sector AH-S c5-2,17147705,634145214906.0,"{'x': 316.40625, 'y': -24.90625, 'z': -1403.84375}",True,False,{},"{'type': 'G (White-Yellow) Star', 'name': 'Col 69 Sector AH-S c5-2', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
41.06,8.0,Col 69 Sector HP-I b12-0,8821097,675249398649.0,"{'x': 315.9375, 'y': -9.75, 'z': -1394.84375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector HP-I b12-0', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
37.94,5.0,Col 69 Sector XX-C b15-1,70998008,2874272523153.0,"{'x': 315.90625, 'y': -61.90625, 'z': -1336.53125}",False,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector XX-C b15-1', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
36.22,1.0,Col 69 Sector PL-G b13-0,33854854,675249267585.0,"{'x': 315.90625, 'y': -62.25, 'z': -1385}",False,False,{},"{'type': 'T Tauri Star', 'name': 'Col 69 Sector PL-G b13-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
45.15,,Col 69 Sector ZF-W d2-14,24805128,491580819675.0,"{'x': 315.8125, 'y': -22.25, 'z': -1405.5625}",True,False,{},"{'type': 'T Tauri Star', 'name': 'Col 69 Sector ZF-W d2-14 A', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
43.09,,Col 69 Sector HP-I b12-1,3306108,2874272654201.0,"{'x': 316.59375, 'y': -13.6875, 'z': -1399.75}",True,False,{},{},,Col 69 Sector FH-U d3-19,,
22.77,,Col 69 Sector ZG-N a26-0,12288423,5401458001664.0,"{'x': 315.59375, 'y': -44.25, 'z': -1382.40625}",False,False,{},{},,Col 69 Sector FH-U d3-19,,
47.87,45.0,Col 69 Sector LF-I b12-0,35625387,675249267577.0,"{'x': 318.03125, 'y': -64.21875, 'z': -1399.15625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector LF-I b12-0', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
47.88,8.0,Col 69 Sector LT-S a23-0,83405473,5401458132712.0,"{'x': 318.96875, 'y': -32.90625, 'z': -1409.5625}",False,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector LT-S a23-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
20.43,,Col 69 Sector JE-I a29-1,3252687,22993644177176.0,"{'x': 323.125, 'y': -27.25, 'z': -1347}",False,False,{},{},,Col 69 Sector FH-U d3-19,,
12.74,8.0,Col 69 Sector FY-J a28-0,91243951,5401458132752.0,"{'x': 322.9375, 'y': -32.84375, 'z': -1356.6875}",True,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector FY-J a28-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
21.76,7.0,Col 69 Sector KO-O c7-2,12993062,634145182154.0,"{'x': 322.40625, 'y': -35.96875, 'z': -1343.46875}",True,False,{},"{'type': 'G (White-Yellow) Star', 'name': 'Col 69 Sector KO-O c7-2', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
11.3,8.0,Col 69 Sector HT-J a28-0,78598670,5401458001680.0,"{'x': 322.3125, 'y': -37.65625, 'z': -1363.6875}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'None', 'population': 53742, 'security': 'Low', 'economy': 'High Tech', 'secondEconomy': 'None', 'reserve': None}","{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector HT-J a28-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
23.09,12.0,Col 69 Sector NK-G a30-0,68738872,5401458132768.0,"{'x': 321.875, 'y': -27.40625, 'z': -1342.8125}",False,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector NK-G a30-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
32.58,8.0,Col 69 Sector TF-P a25-1,83405567,22993644177144.0,"{'x': 321.75, 'y': -32.15625, 'z': -1393.15625}",False,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector TF-P a25-1', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
47.69,2.0,Col 69 Sector DJ-K b11-0,28720652,675249398641.0,"{'x': 321.75, 'y': -16.28125, 'z': -1405.21875}",True,False,{},"{'type': 'T Tauri Star', 'name': 'Col 69 Sector DJ-K b11-0 A', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
40.81,2.0,Col 69 Sector CC-S c5-2,12288425,634145182138.0,"{'x': 318.78125, 'y': -42.9375, 'z': -1401.53125}",True,False,{},"{'type': 'G (White-Yellow) Star', 'name': 'Col 69 Sector CC-S c5-2', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
46.67,2.0,Col 69 Sector ZF-W d2-16,83405398,560300296411.0,"{'x': 321.6875, 'y': -22.4375, 'z': -1406.25}",False,False,{},"{'type': 'T Tauri Star', 'name': 'Col 69 Sector ZF-W d2-16 A', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
27.18,4.0,Col 69 Sector LV-G b13-1,28311415,2874272654209.0,"{'x': 321.28125, 'y': -19.21875, 'z': -1382.65625}",True,False,{},"{'type': 'T Tauri Star', 'name': 'Col 69 Sector LV-G b13-1 A', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
34.47,9.0,Col 69 Sector PL-G b13-1,68180769,2874272523137.0,"{'x': 320.90625, 'y': -62.28125, 'z': -1380.25}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector PL-G b13-1', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
11.26,,Col 69 Sector HT-J a28-1,91244592,22993644046096.0,"{'x': 320.71875, 'y': -40.96875, 'z': -1362.40625}",False,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector HT-J a28-1', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
49.25,12.0,Col 69 Sector ZS-C b15-0,14002979,675249202065.0,"{'x': 320.125, 'y': -79.5625, 'z': -1344.65625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector ZS-C b15-0 A', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
39.98,2.0,Col 69 Sector PZ-Q a24-1,12288403,22993644177136.0,"{'x': 319.71875, 'y': -26.03125, 'z': -1400.53125}",True,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector PZ-Q a24-1', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
19.2,3.0,Col 69 Sector FH-U d3-12,12288421,422861326563.0,"{'x': 319.6875, 'y': -51, 'z': -1367.4375}",True,False,{},"{'type': 'K (Yellow-Orange) Star', 'name': 'Col 69 Sector FH-U d3-12 A', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
25.01,,Col 69 Sector LV-G b13-0,81719694,675249398657.0,"{'x': 319.0625, 'y': -23.5, 'z': -1383.53125}",False,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector LV-G b13-0 A', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
27.95,20.0,Col 69 Sector PB-F b14-0,10256273,675249398665.0,"{'x': 321.4375, 'y': -14.25, 'z': -1345.5625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector PB-F b14-0 A', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
42.91,2.0,Col 69 Sector XN-B b16-0,3252686,675249398681.0,"{'x': 315.40625, 'y': -19.8125, 'z': -1322.09375}",True,False,{},"{'type': 'T Tauri Star', 'name': 'Col 69 Sector XN-B b16-0 A', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
10.22,9.0,Col 69 Sector FH-U d3-10,56989110,354141849827.0,"{'x': 314.78125, 'y': -25.90625, 'z': -1357.53125}",True,False,{},"{'type': 'F (White) Star', 'name': 'Col 69 Sector FH-U d3-10', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
22.85,,Col 69 Sector FH-U d3-11,12288420,388501588195.0,"{'x': 314.28125, 'y': -56.25, 'z': -1368.3125}",True,False,{},"{'type': 'G (White-Yellow) Star', 'name': 'Col 69 Sector FH-U d3-11', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
22.36,6.0,Col 69 Sector YG-N a26-0,8754276,5400384259840.0,"{'x': 307.34375, 'y': -43.28125, 'z': -1382.34375}",True,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector YG-N a26-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
14.88,8.0,Col 69 Sector OB-F b14-1,54732747,2874004218761.0,"{'x': 307.21875, 'y': -20.1875, 'z': -1361.21875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector OB-F b14-1', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
30.65,10.0,Col 69 Sector SF-P a25-1,91442395,22992570435320.0,"{'x': 307.15625, 'y': -31.8125, 'z': -1392.5}",False,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector SF-P a25-1', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
49.18,1.0,Col 69 Sector AY-A a33-0,53864989,5400384259896.0,"{'x': 307.0625, 'y': -43.4375, 'z': -1314.15625}",False,False,{},"{'type': 'T Tauri Star', 'name': 'Col 69 Sector AY-A a33-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
42.41,8.0,Col 69 Sector UM-E b14-1,39156588,2874004022153.0,"{'x': 307.0625, 'y': -76.5, 'z': -1364.15625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector UM-E b14-1 A', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
40.78,9.0,Col 69 Sector WR-C a32-0,90230148,5400384259888.0,"{'x': 306.875, 'y': -43.5, 'z': -1322.8125}",False,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector WR-C a32-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
11.77,,Col 69 Sector IE-I a29-1,28095091,22992570435352.0,"{'x': 306.8125, 'y': -34.8125, 'z': -1351.53125}",False,False,{},{},,Col 69 Sector FH-U d3-19,,
25.65,22.0,Col 69 Sector OL-G b13-0,23878288,674980832129.0,"{'x': 307.34375, 'y': -51.25, 'z': -1381.125}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector OL-G b13-0 A', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
30.05,8.0,Col 69 Sector SL-E a31-0,48221924,5400384259880.0,"{'x': 306.5, 'y': -42.53125, 'z': -1333.8125}",True,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector SL-E a31-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
44.53,1.0,Col 69 Sector LT-J a28-0,80418413,5405752968976.0,"{'x': 355.375, 'y': -42.25, 'z': -1364.3125}",True,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector LT-J a28-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
43.89,,Col 69 Sector JY-J a28-0,72482761,5405753100048.0,"{'x': 355.40625, 'y': -32.21875, 'z': -1363.8125}",False,False,{},{},,Col 69 Sector FH-U d3-19,,
47.96,1.0,Col 69 Sector RK-G a30-0,4809586,5405753100064.0,"{'x': 355.71875, 'y': -32.375, 'z': -1343.59375}",True,False,{},"{'type': 'T Tauri Star', 'name': 'Col 69 Sector RK-G a30-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
45.43,,Col 69 Sector NE-I a29-0,4809620,5405753100056.0,"{'x': 356.21875, 'y': -32.0625, 'z': -1354.09375}",False,False,{},{},,Col 69 Sector FH-U d3-19,,
48.45,1.0,Col 69 Sector BM-N a26-2,47145619,40590125188864.0,"{'x': 357.15625, 'y': -26.3125, 'z': -1376.65625}",True,False,{},"{'type': 'T Tauri Star', 'name': 'Col 69 Sector BM-N a26-2', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
46.93,,Col 69 Sector PZ-H a29-0,91266886,5405752968984.0,"{'x': 357.15625, 'y': -42.75, 'z': -1354.75}",False,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector PZ-H a29-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
47.72,,Col 69 Sector HN-L a27-1,8335810,22997939013384.0,"{'x': 357.875, 'y': -40.15625, 'z': -1372.375}",True,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector HN-L a27-1', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
46.13,14.0,Col 69 Sector QL-G b13-1,28386003,2874540958593.0,"{'x': 354.28125, 'y': -49.5625, 'z': -1370.9375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector QL-G b13-1', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
19.43,11.0,Col 69 Sector FH-U d3-4,24372319,147983419619.0,"{'x': 307.59375, 'y': -40.03125, 'z': -1380.4375}",False,False,{},"{'type': 'K (Yellow-Orange) Star', 'name': 'Col 69 Sector FH-U d3-4', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
9.75,9.0,Col 69 Sector IE-I a29-0,66806275,5400384390936.0,"{'x': 307.625, 'y': -32.875, 'z': -1353.5}",False,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector IE-I a29-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
14.58,12.0,Col 69 Sector EN-Q c6-2,13154320,634145214914.0,"{'x': 308.15625, 'y': -24.59375, 'z': -1352.03125}",True,False,{},"{'type': 'K (Yellow-Orange) Star', 'name': 'Col 69 Sector EN-Q c6-2 A', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
9.5,9.0,Col 69 Sector AS-L a27-0,12288404,5400384390920.0,"{'x': 314.09375, 'y': -33.875, 'z': -1371.4375}",True,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector AS-L a27-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
13.28,1.0,Col 69 Sector CN-L a27-0,12288422,5400384259848.0,"{'x': 313.6875, 'y': -44.59375, 'z': -1370.5}",True,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector CN-L a27-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
28.41,7.0,Col 69 Sector OB-F b14-0,10256274,674980963209.0,"{'x': 313.25, 'y': -9.1875, 'z': -1349.25}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector OB-F b14-0', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
31.97,9.0,Col 69 Sector QQ-E a31-0,62001281,5400384390952.0,"{'x': 313, 'y': -28.40625, 'z': -1330.90625}",True,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector QQ-E a31-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
35.39,9.0,Col 69 Sector QU-Q a24-0,3252692,5400384259824.0,"{'x': 312.625, 'y': -41.78125, 'z': -1396.875}",True,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector QU-Q a24-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
37.57,7.0,Col 69 Sector UW-C a32-0,67099718,5400384390960.0,"{'x': 312.4375, 'y': -34.5625, 'z': -1324.71875}",False,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector UW-C a32-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
24.65,,Col 69 Sector SR-E b14-0,12288419,674980832137.0,"{'x': 312.4375, 'y': -58.96875, 'z': -1363.6875}",False,False,{},{},,Col 69 Sector FH-U d3-19,,
30.36,,Col 69 Sector AH-S c5-3,28720625,909023121850.0,"{'x': 311.96875, 'y': -19.40625, 'z': -1388.6875}",True,False,{},{},,Col 69 Sector FH-U d3-19,,
47.93,13.0,Col 69 Sector KT-S a23-0,83405521,5400384390888.0,"{'x': 311.65625, 'y': -28.1875, 'z': -1409.8125}",False,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector KT-S a23-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
0.0,2.0,Col 69 Sector FH-U d3-19,66684010,663379495139.0,"{'x': 311.59375, 'y': -34.375, 'z': -1362.28125}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'None', 'population': 9000, 'security': 'Low', 'economy': 'High Tech', 'secondEconomy': 'None', 'reserve': None}","{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector FH-U d3-19 A', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
23.87,13.0,Col 69 Sector UA-P a25-0,79848554,5400384259832.0,"{'x': 311.5625, 'y': -38.875, 'z': -1385.71875}",False,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector UA-P a25-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
48.35,9.0,Col 69 Sector YS-C b15-0,18647595,674980766609.0,"{'x': 311.34375, 'y': -73.75, 'z': -1334.21875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector YS-C b15-0', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
40.69,,Col 69 Sector UM-E b14-0,23885636,674980766601.0,"{'x': 311.0625, 'y': -75.0625, 'z': -1362.78125}",True,False,{},{},,Col 69 Sector FH-U d3-19,,
11.86,,Col 69 Sector KZ-H a29-0,91702235,5400384259864.0,"{'x': 311.03125, 'y': -42.84375, 'z': -1354}",False,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector KZ-H a29-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
22.11,,Col 69 Sector SR-E b14-1,12288418,2874004087689.0,"{'x': 310.3125, 'y': -54, 'z': -1352.1875}",False,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector SR-E b14-1 A', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
25.44,9.0,Col 69 Sector UA-P a25-1,79848317,22992570304248.0,"{'x': 308.71875, 'y': -39.1875, 'z': -1387.09375}",False,False,{},"{'type': 'T (Brown dwarf) Star', 'name': 'Col 69 Sector UA-P a25-1', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
41.66,6.0,HD 40569,11293672,84389335498.0,"{'x': 308.40625, 'y': -69.0625, 'z': -1339.4375}",True,False,{},"{'type': 'K (Yellow-Orange) Star', 'name': 'HD 40569', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
13.11,8.0,Col 69 Sector DN-L a27-1,91247755,22993644046088.0,"{'x': 323.4375, 'y': -35.375, 'z': -1367.8125}",False,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector DN-L a27-1', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
19.14,,Col 69 Sector JE-I a29-0,14732982,5401458132760.0,"{'x': 323.6875, 'y': -28.09375, 'z': -1348.84375}",False,False,{},{},,Col 69 Sector FH-U d3-19,,
46.49,19.0,Col 69 Sector VM-E b14-0,66063151,675249202057.0,"{'x': 324.5, 'y': -79, 'z': -1360.34375}",False,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector VM-E b14-0 A', 'isScoopable': True}",,Col 69 Sector FH-U d3-19,,
46.6,4.0,Col 69 Sector RG-G b13-0,9401460,675249202049.0,"{'x': 324.5625, 'y': -77.84375, 'z': -1372.9375}",True,False,{},"{'type': 'T Tauri Star', 'name': 'Col 69 Sector RG-G b13-0 A', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
30.9,2.0,Col 69 Sector FN-L a27-0,91239280,5403605485320.0,"{'x': 340.6875, 'y': -38.875, 'z': -1371.65625}",True,False,{},"{'type': 'Y (Brown dwarf) Star', 'name': 'Col 69 Sector FN-L a27-0', 'isScoopable': False}",,Col 69 Sector FH-U d3-19,,
